threshold,TP,TN,FP,FN,joint_f1,joint_f1_ci_low,joint_f1_ci_median,joint_f1_ci_high,positive_joint_recall,positive_joint_recall_ci_low,positive_joint_recall_ci_high,accepted_below_n,accepted_below_rate_all_positive,accepted_below_rate_ci_low,accepted_below_rate_ci_high,f1_gap_vs_identification,f1_gap_ci_low,f1_gap_ci_high
0.38,95,136,4,45,0.7949790794979079,0.7359307408332825,0.7949790954589844,0.8492063283920288,0.6785714285714286,0.6000000238418579,0.7571428418159485,38,0.2714285714285714,0.20000000298023224,0.34285715222358704,0.165309729166352,0.11522302031517029,0.21947477757930756
0.39,95,136,4,45,0.7949790794979079,0.7359307408332825,0.7949790954589844,0.8492063283920288,0.6785714285714286,0.6000000238418579,0.7571428418159485,38,0.2714285714285714,0.20000000298023224,0.34285715222358704,0.165309729166352,0.11522302031517029,0.21947477757930756
0.4,95,136,4,45,0.7949790794979079,0.7359307408332825,0.7949790954589844,0.8492063283920288,0.6785714285714286,0.6000000238418579,0.7571428418159485,38,0.2714285714285714,0.20000000298023224,0.34285715222358704,0.165309729166352,0.11522302031517029,0.21947477757930756
0.41,94,136,4,46,0.7899159663865546,0.7288888692855835,0.7914893627166748,0.8455284833908081,0.6714285714285714,0.5928571224212646,0.75,39,0.2785714285714286,0.20714285969734192,0.3499999940395355,0.17037284227770533,0.11981739848852158,0.22524472922086716
0.42,93,136,4,47,0.7848101265822784,0.7239674746990205,0.7851239442825317,0.8408163189888,0.6642857142857143,0.5857142806053162,0.7428571581840515,40,0.2857142857142857,0.20714285969734192,0.3642857074737549,0.17547868208198147,0.12410661596804858,0.2313283234834671
0.43,93,136,4,47,0.7848101265822784,0.7239674746990205,0.7851239442825317,0.8408163189888,0.6642857142857143,0.5857142806053162,0.7428571581840515,40,0.2857142857142857,0.20714285969734192,0.3642857074737549,0.17547868208198147,0.12410661596804858,0.2313283234834671
0.44,93,136,4,47,0.7848101265822784,0.7239674746990205,0.7851239442825317,0.8408163189888,0.6642857142857143,0.5857142806053162,0.7428571581840515,40,0.2857142857142857,0.20714285969734192,0.3642857074737549,0.17547868208198147,0.12410661596804858,0.2313283234834671
0.45,92,136,4,48,0.7796610169491526,0.7174887657165527,0.7800830006599426,0.8360655903816223,0.6571428571428571,0.5785714387893677,0.7357142567634583,41,0.29285714285714287,0.2212500017136337,0.37142857909202576,0.18062779171510734,0.12903005667030812,0.2378837764263153
0.46,91,136,4,49,0.774468085106383,0.7117117047309875,0.7749999761581421,0.8312757015228271,0.65,0.5714285969734192,0.7285714149475098,42,0.3,0.22857142984867096,0.37857142090797424,0.18582072355787693,0.1340875107795,0.24362614750862122
0.47,91,136,4,49,0.774468085106383,0.7117117047309875,0.7749999761581421,0.8312757015228271,0.65,0.5714285969734192,0.7285714149475098,42,0.3,0.22857142984867096,0.37857142090797424,0.18582072355787693,0.1340875107795,0.24362614750862122
0.48,91,136,4,49,0.774468085106383,0.7117117047309875,0.7749999761581421,0.8312757015228271,0.65,0.5714285969734192,0.7285714149475098,42,0.3,0.22857142984867096,0.37857142090797424,0.18582072355787693,0.1340875107795,0.24362614750862122
0.49,90,136,4,50,0.7692307692307693,0.7053571343421936,0.7701831161975861,0.8264462947845459,0.6428571428571429,0.5642856955528259,0.7214285731315613,43,0.30714285714285716,0.23553571514785307,0.3857142925262451,0.19105803943349065,0.13847117349505425,0.2502677008509636
0.5,89,136,4,51,0.7639484978540773,0.6995515823364258,0.7647058963775635,0.8215767741203308,0.6357142857142857,0.5571428537368774,0.7142857313156128,44,0.3142857142857143,0.23571428656578064,0.3928571343421936,0.19634031081018266,0.14256874956190585,0.25620538145303723
0.51,89,136,4,51,0.7639484978540773,0.6995515823364258,0.7647058963775635,0.8215767741203308,0.6357142857142857,0.5571428537368774,0.7142857313156128,44,0.3142857142857143,0.23571428656578064,0.3928571343421936,0.19634031081018266,0.14256874956190585,0.25620538145303723
